"","Incident","Location","Reported","Occurred","Comments","Disposition","UCPDI#","latitude","longitude"
"356","Information","5400 S. Harper","6/19/14 9:11 PM","6/19/14 9:00 PM","Individual walking on the sidewalk off campus pushed to the ground by an unknown suspect who fled when victim called for help / No physical injuries / declined medical assistance / CPD case","CPD","D00589",41.782908,-87.58652
"357","Non-Criminal Damage to Property","900 E. 57th St. (Knapp Center)","6/18/14 9:21 AM","6/17/14 to 6/18/14 6:00 PM to 7:00 AM","Door knob broken in room 6160 / Cause unknown","Closed","D00582",41.791364,-87.603741
"358","Information","5714 S. Woodlawn (Fraternity House)","6/18/14 11:27 AM","6/17/14 to 6/18/14 7:00 PM to 11:20 AM","Unknown person(s) gained entrance to dwelling by pushing air conditioner into room / Laptop computer taken / CPD report","CPD","D00583",41.791182,-87.596526
"359","Theft","5700 S. Maryland (CCD)","6/18/14 12:45 PM","4/30/14 to 5/8/14 6:30 AM to 2:00 PM","Unattended, unsecured wallet taken from bag in patient's room","Open","D00584",42.003129,-89.549033
"360","Injured Person","1101 E. 56th St. (Max Palevsky)","6/17/14 11:07 AM","6/17/14 11:05 AM","Contract employee fell in hallway / Complained of neck and back pain / Transported to ER by CFD EMS","Closed","D00580",41.793162,-87.599087
"361","Theft","5800 S. Greenwood (Quad Bike Rack)","6/16/14 1:08 AM","6/15/14 to 6/16/14 7:00 PM to 12:10 AM","Unsecured bicycle taken from bike rack near Botany Pond","Open","D00573",41.79323,-87.599738
"362","Lost Property","969 E. 60th St. (Logan Arts Center)","6/16/14 2:40 AM","6/13/14 to 6/16/14 7:30 AM to 2:30 AM","Report of lost UC ID Card","Closed","D00574",41.785843,-87.602139
"363","Traffic Accident","5840 S. Maryland (Parking Structure)","6/16/14 1:16 AM","6/16/14 1:16 AM","Property damage only / No injuries reported","Closed","D00575",41.788803,-87.604882
"364","Attempt Theft","1005 E. 60th St. (Burton-Judson Bike Rack)","6/16/14 10:48 AM","6/16/14 10:40 AM","UCPD officer detained an individual attempting to take a part from a bicycle secured to bike rack / Owner could not be located / Suspect released with warning not to trespass on University property","Closed","D00576",41.747014,-87.738616
"365","Theft","1554 E. 55th St. (Walgreens)","6/16/14 1:56 PM","6/16/14 1:55 PM","Suspect took merchandise from the store and fled without paying / Suspect arrested by UCPD officers after a brief chase","Arrest","D00577",41.795293,-87.58914
"366","Theft","800 E. 55th St. (Friend Center)","6/16/14 4:09 PM","6/16/14 3:00 PM to 3:30 PM","Unknown person took unattended purse from unsecured drawer in unlocked office","Open","D00578",41.794964,-87.606215
"367","Robbery","5428 S. Kimbark (Nichols Park)","6/16/14 9:51 PM","6/16/14 9:50 PM","Several suspects used force to take a cell phone from a victim sitting in the park / UCPD officers arrested a suspect after a brief chase","Arrest","D00579",41.797169,-87.595049
"368","Possession of Cannabis","5200 S. Ingleside","6/15/14 1:26 AM","6/15/14 1:26 AM","UCPD officers arrested an individual for possession of cannabis","Arrest","D00568",42.372149,-88.14969
"369","Found Property","Drexel between 54th & 55th","6/15/14 12:17 PM","6/15/14 7:30 AM","Book bag found on porch of private residence / Turned over to UCPD / Being held for owner","Closed","D00569",41.801379,-87.606377
"370","Found Property","5239 S. Hyde Park","6/15/14 5:51 AM","6/15/14 5:51 AM","Purse found in park / Being held at UCPD for owner","Closed","D00570",41.800476,-87.584281
"371","Criminal Trespass to Property","5704 S. Harper","6/15/14 7:39 PM","6/15/14 7:39 PM","UCPD officer arrested an individual who refused to leave a private residence after repeated requests","Arrest","D00571",41.782908,-87.58652
"372","Information","Ellis between 54th & 55th","6/15/14 8:37 PM","6/15/14 11:30 AM","Unknown person(s) entered off-campus private apartment and took two laptop computers / No forced entry / CPD case","CPD","D00572",41.795634,-87.616917
"373","Theft","6031 S. Ellis (SCRH)","6/14/14 12:10 AM","6/12/14 to 6/13/14 10:00 PM to 6:30 AM","Laptop computer left unattended and unsecured in 1st floor lounge was taken by an unknown person","Open","D00566",41.785372,-87.601103
"374","Traffic Accident / Property Damage","1427 E. Midway Pl.","6/14/14 11:02 AM","6/14/14 11:00 AM","Shuttle bus involved in traffic crash / No injuries reported / CPD case HX303043","CPD","D00567",40.561329,-89.611181
"375","Injured Person","1155 E. 57th St. (Quadrangle Club)","6/13/14 6:21 AM","6/13/14 1:00 AM","Guest tripped in washroom causing injury to right leg and left knee / Transported to ER by CFD EMS for treatment","Closed","D00561",41.791358,-87.59769
"376","Information","Woodlawn between 52nd & 53rd","6/13/14 8:03 AM","6/12/14 to 6/13/14 6:00 PM to 3:00 AM","Victim reports cash was taken from apartment while workers were left alone / CPD case","CPD","D00562",41.82334,-87.871025
"377","Theft","5020 S. Cornell (Hyde Park Art Center)","6/13/14 12:40 PM","6/12/14 6:30 PM to 7:45 PM","Unknown person took cash from a donation box in public area","Open","D00563",41.802382,-87.585176
"378","Recovered Motor Vehicle","47th & Evans","6/12/14 1:53 AM","6/12/14 1:53 AM","Subsequent to a traffic violation, UCPD officer arrested a motorist for possession of a motor vehicle reported stolen in Elgin, IL","Arrest","D00556",41.896231,-87.624279
"379","Lost Property","5815 S. Maryland (Mitchell Hospital)","6/12/14 4:09 PM","6/2/14 10:00 AM to 12:00 PM","Patient lost dentures","Closed","D00557",41.789267,-87.604888
"380","Theft","5700 S. Maryland (CCD)","6/12/14 5:25 PM","6/10/14 5:15 PM to 6:00 PM","Unknown person removed combination lock from locker in men's locker room #7155 and removed cash from pocket of pants","Open","D00558",42.003129,-89.549033
"381","Theft","920 E. 58th St. (Cummings Life Science Bike Rack)","6/12/14 5:44 PM","6/12/14 9:00 AM to 5:00 PM","Secured bicycle taken from bike rack","Open","D00559",41.789615,-87.603634
"382","Assist Other Agency","951 E. Midway Pl.","6/12/14 5:43 PM","6/12/14 5:43 PM","UCPD officer recovered a parked, unattended car that had been reported stolen to CPD / CPD case HX292621","CPD","D00560",40.561329,-89.611181
"383","Lost Property","5721 S. Maryland (Comer Hospital)","6/11/14 9:23 AM","6/9/14 to 6/10/14 9:00 AM to 2:00 PM","Patient reports losing wallet in hospital","Closed","D00554",41.790944,-87.604874
"384","Non Criminal / Damage to Property","5835 S. Greenwood (Stuart Hall)","6/11/14 12:37 PM","4/4/14 to 4/25/14 11:55 AM to 3:10 PM","Handicap lift damaged due to overloading","Closed","D00555",41.79323,-87.599738
"385","Information","5140 S. Hyde Park","6/10/14 4:22 PM","6/10/14 4:10 PM","Two unknown suspects forcibly took a cell phone from a victim walking off campus /  CPD case","CPD","D00551",41.801825,-87.584832
"386","Information","1518 E. Harper Court","6/10/14 5:57 PM","6/8/14 to 6/9/14 11:30 PM to 7:00 AM","Unknown person(s) gained entrance to a closed  restaurant and took cash from the register / CPD case HX295872","CPD","D00552",41.791615,-87.589528
"387","Fire Alarm","1100 E. 58th St (Ryerson)","6/10/14 8:50 PM","6/10/14 8:50 PM","Faulty sensor triggered fire alarm / CFD responded","Closed","D00553",41.789593,-87.599176
"388","Mental Health Transport","58th & Drexel","6/9/14 12:29 AM","6/9/14 12:29 AM","Individual transported to hospital for mental health evaluation","Closed","D00545",41.801379,-87.606377
"389","Information","1407 E. 60th St. (CTS)","6/9/14 12:55 PM","6/8/14 6:15 PM to 6:20 PM","A terminated contract employee was observed in the building without authorization","Closed","D00546",41.786022,-87.591221
"390","Information","5758 S. Maryland (DCAM)","6/9/14 4:43 PM","6/9/14 4:30 PM","Staff member reports an unknown individual picking up a patient outside of the hospital had a handgun holstered at his side / The individual did not menace anyone or display the weapon","Closed","D00547",41.790253,-87.605016
"391","Information","Midway Pl. at University","6/9/14 5:46 PM","6/8/14 5:00 PM","Individual reported seeing a subject who has been banned from campus","Closed","D00548",41.863546,-87.647277
"392","Recovered Motor Vehicle","5100 S. Lake Park","6/9/14 5:57 PM","6/9/14 5:57 PM","UCPD officer recovered an unoccupied parked vehicle that had been reported stolen to CPD / CPD case HX295966","CPD","D00549",41.802475,-87.58786
"393","Information","1414 E. 59th St. (I-House)","6/9/14 11:42 PM","6/9/14 1:00 PM to 4:30 PM","Individual discovered a paper with a swastika drawing taped to the hallway door to his room","Open","D00550",41.787933,-87.591008
"394","Information","5625 S. University (Fraternity House)","6/8/14 12:10 AM","6/8/14 12:00 AM","Individual struck roommate with fist during an argument / Victim transported to ER for evaluation and treatment / CPD case","CPD","D00541",41.792803,-87.598035
"395","Lost Property","61st & Kenwood to 5815 S. Maryland","6/8/14 10:08 AM","6/5/14 10:00 AM to 7:00 PM","Patient lost earrings between residence and Mitchell Hospital","Closed","D00542",41.808374,-87.593778
"396","Assist Other Agency","1400 E. Midway Pl.","6/8/14 1:47 PM","6/8/14 1:47 PM","UCPD officers assisted CPD in the arrest of an individual who had physically assaulted his ex-girlfriend / CPD case","CPD","D00543",40.560601,-89.61115
"397","Warrant Arrest","4500 S. Drexel","6/8/14 8:32 PM","6/8/14 8:32 PM","Subsequent to a stop for a traffic violation UCPD officer arrested a motorist for an active warrant from the U.S. Marshal's office","Arrest","D00544",41.802238,-87.604038
"398","Criminal Trespass to Vehicle","5400 S. Maryland","6/7/14 1:57 AM","6/7/14 1:57 AM","UCPD officer attempted to stop vehicle for a traffic violation / Suspects abandoned vehicle and fled on foot / UCPD officers arrested two suspects / Vehicle had been reported stolen to CPD / CPD case HX293088","Arrest","D00538",42.003129,-89.549033
"399","Information","55th & Lake Shore Dr.","6/7/14 4:12 PM","6/7/14 4:10 PM","Three unknown suspects, one armed with a handgun, took a cell phone from two victims walking off campus in the Lake Shore Dr. underpass / CPD case HX294025","CPD","D00539",41.900819,-87.624117
"400","Mental Health Transport","57th & Cottage Grove","6/7/14 11:04 PM","6/7/14 11:04 PM","Individual transported to hospital for mental health evaluation","Closed","D00540",41.849347,-87.619765
"401","Theft","5700 S. Maryland (CCD)","6/6/14 3:19 PM","6/6/14 7:30 AM to 1:30 PM","Unattended, unsecured laptop computer taken from top of locker in 7th floor locker room","Open","D00535",42.003129,-89.549033
"402","Information","Everett between 55th & 56th","6/6/14 8:38 PM","6/6/14 9:30 AM to 7:00 PM","Unknown person(s) gained entry to off campus private apartment by forcing the front door / Took 2 laptops and coins / CPD case","CPD","D00536",41.799644,-87.582319
"403","Information","5700 S. Everett","6/6/14 8:45 PM","6/6/14 8:40 PM","Three unknown suspects, one armed with a handgun, took headphones from a victim walking on the sidewalk off campus / CPD case HX293038","CPD","D00537",41.795121,-87.582533
