"","Incident","Location","Reported","Occurred","Comments","Disposition","UCPDI#","latitude","longitude"
"2203","Traffic Violation","5400 S. Lake Park","1/2/13 10:16 PM","1/2/13 10:16 PM","UCPD officer arrested a motorist for driving an uninsured vehicle with a suspended driver's license","Arrest","C00009",41.798096,-87.587241
"2204","Information","5815 S. Maryland (Mitchell Hospital)","1/1/13 3:32 PM","12/31/12 to 1/1/13 11:50 PM to 12:03 AM","Information provided regarding a stolen wallet / CPD Investigation","CPD Investigation","C00002",41.789267,-87.604888
"2205","Burglary","5625 S. University (Fraternity House)","1/1/13 5:18 PM","12/19/12 to 1/1/13 1:00 PM to 4:40 PM","Unknown person(s) forced entry to room and took a TV set","Open","C00001",41.792803,-87.598035
"2206","Assist Other Agency","5408 S. Ellis","1/1/13 9:07 PM","1/1/13 9:00 PM","UCPD officers assisted Chicago Police in the investigation of a robbery","CPD Investigation","C00003",41.79768,-87.601341
"2207","Theft from Motor Vehicle","1155 E. 60th St. (Harris School Parking Lot)","12/31/12 2:45 PM","12/31/12 7:30 AM to 2:45 PM","Unknown person(s) took wheels from 2 cars parked in parking lot","Open","B01630",41.785889,-87.597571
"2208","Traffic Violation","5700 S. Cottage Grove","12/30/12 8:54 PM","12/30/12 8:54 PM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01629",41.791325,-87.606152
"2209","Traffic Violation","1300 E. 55th St.","12/29/12 12:11 AM","12/29/12 12:11 AM","UCPD officer arrested a motorist for driving without a valid driver's license","Arrest","B01628",41.795097,-87.594923
"2210","Traffic Violation","6021 S. Cottage Grove","12/29/12 12:18 AM","12/29/12 12:18 AM","UCPD officer arrested a motorist for driving with an expired driver's license","Arrest","B01627",41.785286,-87.60596
"2211","Traffic Violation","5300 S. Kenwood","12/28/12 6:59 AM","12/28/12 6:59 AM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01624",41.799012,-87.5935
"2212","Traffic Violation","1225 E. Midway Pl.","12/28/12 8:10 AM","12/28/12 8:10 AM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01625",40.561329,-89.611181
"2213","Traffic Violation","5500 S. Ellis","12/28/12 1:24 PM","12/28/12 1:24 PM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01626",41.795014,-87.601309
"2214","Information","5758 S. Maryland (DCAM)","12/27/12 12:25 PM","12/13/12 5:00 PM","Man reports, while not feeling well, he voluntarily gave cash to an unknown man on the street","Closed","B01621",41.790253,-87.605016
"2215","Information","6025 S. Dorchester (Public Way)","12/27/12 12:33 PM","12/27/12 12:33 PM","UCPD officer recovered property that may have been taken during the commission of a crime / Property turned over to CPD","Closed","B01622",41.786334,-87.591404
"2216","Accident Report","5840 S. Maryland","12/27/12 4:35 PM","12/27/12 4:35 PM","Traffic Accident Report","Closed","B01623",42.003129,-89.549033
"2217","Traffic Violation","6300 S. Kenwood","12/26/12 1:25 AM","12/26/12 1:25 AM","UCPD officer arrested a motorist for driving an uninsured vehicle with a suspended driver's license","Arrest","B01616",41.780552,-87.593059
"2218","Traffic Violation","800 E. Midway Pl.","12/26/12 10:06 AM","12/26/12 10:06 AM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01617",40.560601,-89.61115
"2219","Damage to Property","5801 S. Ellis (Street)","12/26/12 11:25 AM","12/26/12 11:10 AM","Rock fell from a truck breaking the windshield of a car parked on the street","Closed","B01618",41.789561,-87.601261
"2220","Assist Other Agency","6134 S. Dorchester","12/26/12 9:53 PM","12/26/12 9:53 PM","UCPD officer recovered an unoccupied vehicle that had been reported stolen to CPD","Closed","B01619",39.078176,-89.885675
"2221","Traffic Violation","860 E. 63rd St.","12/26/12 10:55 PM","12/26/12 10:55 PM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01620",41.780357,-87.604279
"2222","Traffic Violation","6200 S. Cottage Grove","12/25/12 12:53 AM","12/25/12 12:53 AM","UCPD officer arrested a motorist for driving with a revoked driver's license","Arrest","B01615",41.782232,-87.605969
"2223","Traffic Violation","5500 S. Harper","12/24/12 9:39 AM","12/24/12 9:39 AM","UCPD officer arrested a motorist for driving without a valid driver's license","Arrest","B01614",41.782908,-87.58652
"2224","Traffic Violation","5500 S. Cottage Grove","12/23/12 3:00 AM","12/23/12 3:00 AM","UCPD officer arrested a motorist for driving an uninsured vehicle without a valid driver's license","Arrest","B01613",41.794964,-87.606215
"2225","Traffic Violation","6000 S. Cottage Grove","12/22/12 12:23 AM","12/22/12 12:23 AM","UCPD officers arrested a motorist for driving with a suspended driver's license / Passenger arrested for an active warrant from Calumet Park, IL","Arrest","B01611",41.785314,-87.60611
"2226","Traffic Violation","1309 E. 57th St.","12/22/12 11:24 PM","12/22/12 11:24 PM","UCPD officer arrested a motorist for driving a vehicle with a suspended registration and no insurance","Arrest","B01612",41.791394,-87.594286
"2227","Theft","5758 S. Maryland (DCAM)","12/21/12 11:45 AM","12/20/12 to 12/21/12 6:00 PM to 8:00 AM","Unattended personal radio left on reception desk taken by unknown person","Open","B01608",41.790253,-87.605016
"2228","Information","6054 S. Drexel (UCPD HQ)","12/21/12 3:48 PM","12/21/12 3:48 PM","Report of suspicious email messages","Closed","B01609",41.802285,-87.603783
"2229","Traffic Violation","5700 S. Stony Island","12/21/12 8:22 PM","12/21/12 8:22 PM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01610",41.791547,-87.586711
"2230","Robbery","55th between Ellis & Greenwood","12/20/12 11:51 AM","12/20/12 11:50 AM","Unknown male forcibly took cell phone from victim walking on the sidewalk / Arrest by UCPD","Arrest","B01603",38.01012,-89.905976
"2231","Information","60th near Dorchester","12/20/12 1:30 PM","12/12/12 to 12/18/12 (Various)","Reported receipt of suspicious e-mail messages","Closed","B01604",39.100049,-89.885775
"2232","Assist Other Agency","55th between Blackstone and Harper","12/20/12 4:18 PM","12/20/12 4:15 PM","UCPD officers assisted Chicago Police / Arrested two robbery suspects","Arrest","B01606",41.787866,-87.590167
"2233","Theft","5840 S. Kenwood (Lab School)","12/20/12 4:41 PM","12/20/12 7:50 AM to 3:30 PM","Bicycle secured to bike rack taken by unknown person","Open","B01605",41.789383,-87.593238
"2234","Traffic Violation","5420 S. Lake Park","12/20/12 8:56 PM","12/20/12 8:56 PM","UCPD officer arrested a motorist for driving without a valid driver's license","Arrest","B01607",41.798188,-87.587165
"2235","Traffic Accident","1526 E. 55th St.","12/19/12 11:50 AM","12/18/12 9:00 PM","Traffic Crash Report","Closed","B01601",41.795363,-87.589125
"2236","Theft","970 E. 58th St. (Bookstore)","12/19/12 5:04 PM","12/19/12 4:50 PM","Unknown male took articles of clothing from the bookstore without paying","Open","B01602",41.789544,-87.603363
"2237","Theft","970 E. 58th St. (Bookstore)","12/18/12 1:27 PM","12/18/12 1:20 PM to 1:25 PM","iPhone taken from pocket of vest draped over the back of a chair in caf<U+653C><U+3E39>","Open","B01599",41.789544,-87.603363
"2238","Theft","5807 S. Woodlawn (Booth School)","12/18/12 1:34 PM","12/18/12 12:20 PM to 12:30 PM","Wallets taken from two purses left unattended in unsecured office / Subsequent unauthorized use of credit cards reported","Open","B01598",41.789512,-87.596337
"2239","Traffic Violation","5500 S. Kimbark","12/18/12 8:43 PM","12/18/12 8:43 PM","UCPD officer arrested a motorist for driving without a valid driver's license","Arrest","B01600",41.795097,-87.594923
"2240","Traffic Violation","6015 S. Cottage Grove","12/17/12 12:55 AM","12/17/12 12:55 AM","UCPD officer arrested a motorist for driving with a suspended driver's license / Also served with an active warrant from Will County","Arrest","B01595",41.785315,-87.60596
"2241","Theft","5758 S. Maryland (DCAM)","12/17/12 9:17 AM","12/17/12 8:10 AM to 8:30 AM","Purse that was placed on the floor in waiting room next to victim's chair was taken by unknown person","Open","B01596",41.790253,-87.605016
"2242","Information","1100 S. Hamilton (Juvenile Court Bldg.)","12/17/12 11:17 AM","12/7/12 1:00 PM to 2:00 PM","Four hubcaps taken from University owned vehicle parked on the street","Closed","B01597",41.867504,-87.680373
"2243","Liquor Law Violation","6031 S. Ellis (South Campus Residence Hall)","12/16/12 2:30 AM","12/16/12 2:30 AM","Underage person became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","B01593",41.785372,-87.601103
"2244","Recovered Stolen Motor Vehicle","1100 E. 53rd St.","12/16/12 1:37 PM","12/16/12 1:37 PM","UCPD officers arrested a suspect for possession of a stolen motor vehicle and traffic violations","Arrest","B01594",41.799422,-87.599739
"2245","Traffic Violation","5400 S. Greenwood","12/15/12 10:40 AM","12/15/12 10:40 AM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01591",41.79795,-87.599708
"2246","Theft","915 E. 60th St. (Logan Arts Center Bike Rack)","12/15/12 3:29 PM","12/15/12 3:29 PM","UCPD officer arrested a man after he took the front wheel off of a bicycle secured to a bike rack / Bicycle is property of UC Recycles Program","Arrest","B01592",41.031612,-89.405452
"2247","Theft","5758 S. Maryland (Mitchell Hospital)","12/14/12 8:25 AM","12/12/12 to 12/13/12 6:50 PM to 7:30 AM","Unattended iPhone taken from desk top in office","Open","B01582",41.790253,-87.605016
"2248","Traffic Violation","5300 S. Kenwood","12/14/12 8:48 AM","12/14/12 8:48 AM","UCPD officer arrested a motorist for driving without a valid driver's license","Arrest","B01583",41.799012,-87.5935
"2249","Traffic Violation","6100 S. Ingleside","12/14/12 9:41 AM","12/14/12 9:41 AM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01584",42.372149,-88.14969
"2250","Theft","915 E. 60th St. (Logan Arts Center)","12/14/12 10:37 AM","12/13/12 to 12/14/12 11:30 PM to 10:15 AM","Unknown person took iPhone that was left unattended in computer room","Open","B01585",41.785824,-87.603899
"2251","Theft","5815 S. Maryland (Mitchell Hospital)","12/14/12 3:11 PM","12/13/12 to 12/14/12 7:00 PM to 8:00 AM","Unknown person took cell phone from patient's room","Open","B01586",41.789267,-87.604888
"2252","Theft","5839 S. Maryland (Wyler Hospital)","12/14/12 3:20 PM","12/14/12 3:00 PM to 3:20 PM","Unattended iPhone taken from desk top in unsecured office","Open","B01587",41.788821,-87.604883
"2253","Theft from Motor Vehicle","60th at Harper","12/14/12 4:47 PM","12/14/12 9:00 AM to 4:30 PM","Unknown person(s) smashed window of car parked on the street and took various items from the vehicle","Open","B01588",41.782885,-87.589263
"2254","Traffic Violation","5500 S. Dorchester","12/14/12 5:56 PM","12/14/12 5:56 PM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01589",39.078176,-89.885675
"2255","Theft from Person","5801 S. Cottage Grove","12/14/12 7:00 PM","12/14/12 6:30 PM","Unknown male snatched cell phone from the hand of a man standing at the bus stop","Open","B01590",41.789512,-87.606117
"2256","Traffic Violation","5900 S. Stony Island","12/13/12 1:05 AM","12/13/12 1:05 AM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01578",41.786392,-87.586601
"2257","Traffic Violation","900 E. Midway Pl.","12/13/12 10:58 AM","12/13/12 10:58 AM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01579",40.560601,-89.61115
"2258","Criminal Damage to Property","1212 E. 59t St. (Ida Noyes)","12/13/12 12:22 PM","12/6/12 to 12/7/12 5:00 PM to 10:30 AM","Unknown person scratched the exterior of an office door on the second floor / Investigation revealed no signs of criminal activity","Unfounded","B01580",41.787881,-87.596225
"2259","Traffic Violation","4600 S. Cottage Grove","12/13/12 9:51 PM","12/13/12 9:51 PM","UCPD officer arrested a motorist for driving with a suspended driver's license / Motorist has 4 previous arrests for same offense / Felony charges pending","Arrest","B01581",41.811354,-87.606605
"2260","Traffic Accident","970 E. 58th St.","12/12/12 9:48 AM","12/12/12 9:30 AM","Traffic crash report","Closed","B01577",41.789544,-87.603363
"2261","Traffic Violation","5234 S. Dorchester","12/11/12 1:37 PM","12/11/12 1:37 PM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01573",39.078359,-89.885609
"2262","Traffic Violation","5700 S. Stony Island","12/11/12 2:59 PM","12/11/12 2:59 PM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01574",41.791547,-87.586711
"2263","Theft from Motor Vehicle","6000 S. Stony Island (Parking Lot)","12/11/12 8:36 PM","12/7/12 to 12/11/12 5:00 PM to 8:00 PM","Unknown person(s) removed four wheels from a vehicle parked in the surface parking lot","Open","B01575",41.786142,-87.586595
"2264","Traffic Violation","5500 S. Kimbark","12/11/12 10:36 PM","12/11/12 10:36 PM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01576",41.795097,-87.594923
"2265","Traffic Violation","5500 S. Drexel","12/10/12 12:25 AM","12/10/12 12:20 AM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01569",41.795459,-87.603827
"2266","Traffic Violation","5400 S. Lake Park","12/10/12 12:10 PM","12/10/12 12:10 PM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01570",41.798096,-87.587241
"2267","Theft","5815 S. Maryland (Mitchell Hospital)","12/10/12 8:20 PM","12/10/12 3:00 PM to 3:30 PM","Unattended cell phone taken from patient's room","Open","B01571",41.789267,-87.604888
"2268","Traffic Violation","1200 E. 60th St.","12/10/12 10:00 PM","12/10/12 10:00 PM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01572",41.786014,-87.596331
"2269","Liquor Law Violation","5630 S. University (Max Palevsky)","12/9/12 1:09 AM","12/9/12 1:09 AM","Underage person became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","B01564",41.792689,-87.598183
"2270","Information","940 E. 52nd St.","12/9/12 12:47 PM","12/9/12 11:55 AM","Subject provided information to UCPD after contacting Chicago police then refusing to complete a report with that agency","Closed","B01565",41.800932,-87.602654
"2271","Theft","Dorchester at 57th","12/9/12 2:51 PM","12/9/12 11:00 AM to 1:00 PM","Unknown person took a bicycle that had been secured to a city sign post","Open","B01566",41.809382,-87.592069
"2272","Traffic Violation","5600 S. Lake Park","12/9/12 7:49 PM","12/9/12 7:49 PM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01567",41.793357,-87.587943
"2273","Theft","5815 S. Maryland (Mitchell Hospital)","12/9/12 10:55 PM","12/9/12 6:00 PM to 6:30 PM","Purse taken from patient's room by unknown person","Open","B01568",41.789267,-87.604888
"2274","Warrant Arrest","5700 S. Lake Park (Metra Station)","12/8/12 12:29 AM","12/8/12 12:29 AM","During a check of the station UCPD officer arrested a man wanted on a warrant","Arrest","B01558",41.795184,-87.587507
"2275","Liquor Law Violation","5600 S. Ellis (Public Way)","12/8/12 1:08 AM","12/8/12 1:08 AM","Underage person became ill after consuming alcoholic beverages/ Transported to ER by CFD EMS","Referred","B01559",41.793211,-87.601342
"2276","Traffic Violation","6000 S. Ellis","12/8/12 2:38 AM","12/8/12 2:38 AM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01560",41.785927,-87.601191
"2277","Theft","1220 E. 53rd St.","12/8/12 8:13 PM","12/8/12 8:13 PM","UCPD officer arrested a male subject for retail theft","Arrest","B01561",41.799536,-87.596314
"2278","Telephone Harassment","Blackstone between 58th & 59th","12/8/12 9:06 PM","12/8/12 11:45 AM to 8:45 PM","Victim received harassing telephone calls from known subject","Open","B01562",41.804251,-87.590539
"2279","Theft from Motor Vehicle","60th between Kenwood & Dorchester","12/8/12 9:55 PM","12/8/2012  9:00 AM to 9:00 PM","Unknown person removed catalytic convertor from vehicle parked on the street","Open","B01563",40.113752,-88.286098
"2280","Traffic Violation","1200 E. Midway Pl.","12/7/12 9:20 AM","12/7/12 9:20 AM","UCPD officer arrested a motorist for driving without a valid driver's license","Arrest","B01552",40.560601,-89.61115
"2281","Damage to Property","Blackstone between 60th & 61st","12/7/12 9:42 AM","12/7/12 8:20 AM to 9:35 AM","Driver's side window shattered in car parked on the street / Cause unknown","Closed","B01551",41.804251,-87.590539
"2282","Theft","5655 S. University (University Church)","12/7/12 11:58 AM","12/3/12 to 12/5/12 8:00 AM to 8:00 AM","Unknown person(s) took an ""Affirmation Flag"" that was secured to the south exterior wall of the building","Open","B01553",41.792247,-87.598025
"2283","Lost Property","1116 E. 59th St.","12/7/12 3:37 PM","12/7/12 1:15 PM","Woman reported wallet was lost while walking from Harper Library to Midway Plaisance","Closed","B01554",41.787855,-87.598533
"2284","Traffic Accident","5505 S. Ellis","12/7/12 7:45 PM","12/7/12 7:45 PM","Traffic Crash Report","Closed","B01555",41.794915,-87.601274
"2285","Damage to Property","60th between Dorchester & Blackstone","12/7/12 8:09 PM","12/7/12 9:00 AM to 8:00PM","Passenger's side window shattered in car parked on the street / Cause unknown","Closed","B01556",41.809382,-87.592069
"2286","Traffic Violation","5500 S. Greenwood","12/7/12 10:48 PM","12/7/12 10:48 PM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01557",41.795031,-87.599777
"2287","Traffic Violation","5250 S. Hyde Park","12/6/12 12:32 PM","12/6/12 12:32 PM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01547",41.800323,-87.584221
"2288","Traffic Violation","5700 S. Stony Island","12/6/12 1:17 PM","12/6/12 1:17 PM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01548",41.791547,-87.586711
"2289","Traffic Violation","1200 E. Midway Pl.","12/6/12 8:50 PM","12/6/12 8:50 PM","UCPD officer arrested a motorist for driving without a valid  driver's license","Arrest","B01549",40.560601,-89.61115
"2290","Traffic Violation","1150 E. Midway Pl.","12/6/12 10:38 PM","12/6/12 10:38 PM","UCPD officer arrested a motorist for driving without a valid  driver's license","Arrest","B01550",40.560601,-89.61115
"2291","Battery","5815 S. Maryland (Mitchell Hospital)","12/5/12 12:47 PM","12/5/12 12:40 PM","As a result of a verbal altercation, suspect pushed victim, causing him to fall against a glass window and cutting his hands / Detained by hospital security","Arrest","B01545",41.789267,-87.604888
"2292","Aggravated Assault of Police Officer","5420 S. Lake Park","12/5/12 4:55 PM","12/5/12 4:50 PM","Motorist struck UCPD officer with his fist and menaced officer with a saw blade while officer was in the process of issuing a traffic citation / Suspect arrested and charged with battery and traffic violations","Arrest","B01546",41.798188,-87.587165
"2293","Lost Property","1300 E. 59th St.","12/4/12 12:22 PM","12/4/12 10:25 AM to 10:40 AM","Woman left her wallet on the seat of a CTA bus","Closed","B01537",41.787821,-87.594751
"2294","Traffic Violation","5300 S. Drexel","12/4/12 11:39 AM","12/4/12 11:39 AM","UCPD officer arrested a motorist for driving with a revoked driver's license","Arrest","B01538",41.798645,-87.603903
"2295","Traffic Violation","1500 E. Midway Pl.","12/4/12 3:06 PM","12/4/12 3:06 PM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01539",40.560601,-89.61115
"2296","Theft","5706 S. University (Reynolds Club)","12/4/12 3:06 PM","12/4/12 1:00 AM to 9:00 AM","Unknown person took IPhone from bin in secured office","Open","B01540",41.791316,-87.598148
"2297","Traffic Violation","1200 E. Midway Pl.","12/4/12 6:41 PM","12/4/12 6:41 PM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01541",40.560601,-89.61115
"2298","Traffic Violation","6000 S. Drexel","12/4/12 10:57 PM","12/4/12 10:57 PM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01542",41.785893,-87.60443
"2299","Burglary","Kimbark between 57th & 58th","12/4/12 11:31 PM","12/4/12 4:00 PM to 6:00 PM","Unknown person(s) entered victim's apartment and took various items / No sign of forcible entry","Open","B01543",41.808827,-87.595192
"2300","Traffic Violation","5300 S. Dorchester","12/4/12 11:33 PM","12/4/12 11:33 PM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01544",39.078313,-89.885608
"2301","Miscellaneous Incident","5610 S. Ellis (Accelerator Building)","12/3/12 7:27 AM","11/30/12 12:00 PM to 12:30 PM","Outside vendor created a disturbance before leaving the building","Closed","B01531",41.793024,-87.601414
"2302","Theft","5530 S. Ellis (Ratner A.C. Bike Rack)","12/3/12 8:10 AM","12/3/12 6:00 AM to 7:30 AM","Unknown person took secured bicycle from bike rack","Open","B01532",41.794467,-87.601449
"2303","Theft","5730 S. Drexel (Comer Hospital)","12/3/12 12:28 PM","12/3/12 11:50 AM to 12:20 PM","Unattended purse taken by unknown person","Open","B01533",41.790787,-87.603729
"2304","Lost Property","5811 S. Ellis (Cobb Hall)","12/3/12 4:29 PM","11/28/12 to 11/30/12 4:30 PM to 10:00 AM","Man reports he cannot recall where he left his clarinet","Closed","B01534",41.789377,-87.601183
"2305","Theft from Person","55th between Kimbark & Kenwood","12/3/12 6:11 PM","12/3/12 6:09 PM","Unknown male snatched iPhone from victim's hand and fled into Nichols Park","Open","B01535",41.808827,-87.595192
"2306","Lost Property","5050 S. Lake Shore Dr. to 58th & Woodlawn","12/3/2012 22:58","12/3/12 6:50 PM to 7:00 PM","Woman reports losing her wallet from her pocket","Closed","B01536",41.940251,-87.63879
"2307","Traffic Violation","5750 S. Cottage Grove","12/2/12 1:28 AM","12/2/12 1:28 AM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01525",41.78971,-87.606197
"2308","Traffic Violation","5500 S. Ellis","12/2/12 2:44 PM","12/2/12 2:44 PM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01527",41.795014,-87.601309
"2309","Traffic Violation","6100 S. Dorchester","12/2/12 7:23 PM","12/2/12 7:23 PM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01528",39.078176,-89.885675
"2310","Traffic Violation","1332 E. 57th St.","12/2/12 9:23 PM","12/2/12 9:23 PM","UCPD officer arrested a motorist for driving without a valid driver's license","Arrest","B01530",41.791548,-87.59383
"2311","Theft","5841 S. Maryland (Mitchell Hospital)","12/2/12 9:47 PM","12/1/12 5:00 PM to 11:00 PM","Unattended iPad power cord taken from secured room / Complainant later found cord","Unfounded","B01529",41.788784,-87.604882
"2312","Liquor Law Violation","1005 E. 60th St. (Burton-Judson)","12/1/12 12:11 AM","12/1/12 12:11 AM","Underage person became ill after consuming alcoholic beverages / Transported to ER for treatment","Referred","B01518",41.785853,-87.60112
"2313","Traffic Violation","1300 E. Midway Pl.","12/1/12 9:19 AM","12/1/12 9:19 AM","UCPD officer arrested a motorist for driving without a valid driver's license","Arrest","B01519",40.560601,-89.61115
"2314","Traffic Violation","5300 S. Kenwood","12/1/12 9:57 AM","12/1/12 9:57 AM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01520",41.799012,-87.5935
"2315","Information","5050 S. Lake Shore Dr.","12/1/12 11:25 AM","11/28/12 to 12/1/12 6:00 PM to 11:15 AM","Owner reports hub caps missing from vehicle","Closed","B01521",41.806533,-87.585465
"2316","Lost Property","Unknown","12/1/12 3:39 PM","11/30/12 to 12/1/12 5:00 PM to 2:39 PM","Man reports losing wallet from jacket pocket","Closed","B01523",41.850033,-87.650052
"2317","Lost Property","5530 S. Ellis (Ratner A.C.)","12/1/12 3:42 PM","12/1/12 1:00 PM to 2:30 PM","Man reports losing wallet somewhere in the building","Closed","B01522",41.794467,-87.601449
"2318","Traffic Violation","5700 S. Cottage Grove","12/1/12 9:17 PM","12/1/12 9:17 PM","UCPD officer arrested a motorist for driving without a valid driver's license","Arrest","B01524",41.791325,-87.606152
"2319","Damage to City Property","Kimbark between 55th & 56th","11/30/12 3:43 AM","11/30/12 3:43 AM","UCPD officers arrested a male subject for cutting a city sign post and removing a bicycle secured to the post","Arrest","B01511",41.808827,-87.595192
"2320","Traffic Accident","5735 S. Ellis","11/30/12 9:21 AM","11/30/12 9:20 AM","Traffic Accident","Closed","B01512",41.790754,-87.601212
"2321","Traffic Violation","1545 E. 55th St.","11/30/12 10:44 AM","11/30/12 10:44 AM","UCPD officer arrested a motorist for driving without a valid driver's license","Arrest","B01513",41.795165,-87.58824
"2322","Warrant Arrest","1024 E. 53rd St.","11/30/12 1:46 PM","11/30/12 1:46 PM","UCPD officer, subsequent to a traffic stop, arrested a motorist wanted on a warrant","Arrest","B01514",41.799338,-87.600481
"2323","Deceptive Practice / Forgery","5758 S. Maryland (DCAM)","11/30/12 2:43 PM","10/1/112 9:40 AM","Suspect forged prescription for a pharmaceutical drug","Open","B01515",41.790253,-87.605016
"2324","Criminal Trespass to Land","5020 S. Cornell (Hyde Park Arts Center)","11/30/12 4:29 PM","11/30/12 4:29 PM","UCPD officers arrested an individual for trespassing on private property","Arrest","B01516",41.802382,-87.585176
"2325","Traffic Accident","1110 E. 57th St.","11/30/12 11:41 PM","11/30/12 11:41 PM","Traffic Accident","Closed","B01517",41.791495,-87.598923
"2326","Non-Criminal Damage","Cornell between 53rd & 54th","11/29/12 6:57 AM","11/28/12 2:10 PM to 2:40 PM","Owner reported scratches on doors of car parked on the public way","Closed","B01508",41.806787,-87.587735
"2327","Theft","Greenwood between 51st & 52nd","11/29/12 1:49 PM","11/20/12 to 11/26/12 11:00 AM to 12:00 PM","Unknown person took bicycle secured to a railing at the rear of a multi-unit apartment building","Open","B01509",41.814621,-87.599369
"2328","Drug Law Violation","5700 S. Hyde Park","11/29/12 11:10 PM","11/29/12 11:00 PM","UCPD officer arrested two suspects for possession of marijuana and felony possession of crack cocaine","Arrest","B01510",41.793419,-87.583907
"2329","Traffic Violation","5925 S. Cottage Grove","11/28/12 10:37 AM","11/28/12 10:37 AM","UCPD officer arrested a motorist for driving without a valid driver's license","Arrest","B01500",41.785755,-87.605962
"2330","False Fire Alarm","5811 S. Ellis (Cobb Hall)","11/28/12 10:39 AM","11/28/12 10:38 AM","Unknown person activated a fire alarm pull box on the 2nd floor / CFD responded / No fire or smoke","Closed","B01502",41.789377,-87.601183
"2331","Theft","Stony Island between 56th & 57th","11/28/12 12:02 PM","11/21/12  12:00 PM to 1:00 PM","Person loading a car left a bag containing a laptop computer and a pair of boots on the sidewalk / Returned to find the property had been taken by unknown person","Open","B01501",41.747847,-87.585448
"2332","Theft","1414 E. 59th St. (I-House)","11/28/12 12:33 PM","11/28/12 12:05 PM to 12:10 PM","Unknown person took a cell phone and bus pass from a coat left unattended in the coat room","Open","B01503",41.787933,-87.591008
"2333","Traffic Violation","5900 S. Payne Dr.","11/28/12 2:59 PM","11/28/12 2:59 PM","UCPD officer arrested a motorist for driving without a valid driver's license","Arrest","B01505",39.582119,-89.590321
"2334","Lost Property","5727 S. University (Stevanovich Center)","11/28/12 3:54 PM","11/28/12 12:45 PM to 12:50  PM","Man reports keys missing from his book bag","Closed","B01504",41.790947,-87.59799
"2335","Theft","1027 E. 57th St. (Anatomy Bike Rack)","11/28/12 4:39 PM","11/3/121 to 11/28/12 2:00 PM to 4:30 PM","Bicycle secured to a bike rack was taken by an unknown person","Open","B01506",41.791323,-87.600846
"2336","Traffic Violation","5500 S. Harper","11/28/12 11:02 PM","11/28/12 11:02 PM","UCPD officer arrested a motorist for driving without a valid driver's license and driving an uninsured vehicle","Arrest","B01507",41.782908,-87.58652
"2337","Robbery","Greenwood between 54th & 55th","11/27/12 5:01 PM","11/27/12 4:50 PM","Unknown male forcibly took purse from a woman walking on the sidewalk / Suspect fled to a waiting vehicle","Open","B01498",41.814621,-87.599369
"2338","Attempt Burglary","5811 S. Ellis (Cobb Hall)","11/26/12 7:26 AM","11/21/12 to 11/26/12 5:30 PM to 7:15 AM","Unknown person smashed glass in office door to gain entry to office / Attempted to remove a computer secured by a cable","Open","B01486",41.789377,-87.601183
"2339","Traffic Violation","5300 S. Greenwood","11/26/12 7:46 AM","11/26/12 7:46 AM","UCPD officer arrested a motorist for driving with a suspended driver's license","Arrest","B01487",41.799422,-87.599739
"2340","Burglary","924 E. 57th St. (Knapp Center)","11/26/12 9:16 AM","11/21/12 to 11/26/12 12:00 PM to 8:15 AM","Unknown person smashed glass in office door to gain entry to office / Took a desktop computer","Open","B01488",41.791443,-87.603431
